Ticker,MeanReturn,Volatility,Trend,MaxDrawdown,LogAvgVolume
A,0.0005970123471644905,0.016258036909706265,0.00034001736017120386,-0.20012199587938262,14.680133668205496
AA,-0.0015189453629399236,0.02653284160410131,-0.00235015690208526,-0.7222314516123414,15.156904042234535
AAL,-0.0009365615987965652,0.023855064106595426,-0.0013330930027297579,-0.5818368350866022,15.75025312895582
AAN,0.0009739779517203892,0.021845623511691486,0.0009439296097718422,-0.28674483872155015,13.409212109682871
AAON,0.0007756342951057478,0.019817293818664622,0.0008907841638494299,-0.26032405168701345,12.07800997563872
AAP,0.0009885537253888274,0.018382452644843346,0.0006713298278657441,-0.26975964433606675,13.942249530917984
AAPL,0.0012140921616222303,0.017355442312056615,0.0006137886080107627,-0.38729694508624535,17.250128571143534
AAT,0.00043734641379317726,0.01178683985759635,0.0008111120718267014,-0.16876311739540947,12.611672953245975
AAXN,0.0025355348885969793,0.03258133151495013,0.0010920683252200179,-0.4693550273421447,13.626565290886742
AB,0.0004756710605529177,0.01489221982727494,0.00014806444561015736,-0.23489500092255278,12.63942236347296
ABBV,-1.0381978822331942e-05,0.019854444263206886,-0.0008052314034164815,-0.4888401914599699,15.824758894031952
ABC,-3.543523675370008e-05,0.01817256241540063,-0.00022815390275345465,-0.3291619275287106,14.179276192301671
ABCB,-0.00011773362106709186,0.017018271048629158,-0.0008332465885455364,-0.48037863464824615,12.768053728240513
ABEO,-0.001234397446324923,0.06846082307250206,-0.004394557238470011,-0.9282051325371613,13.617201933217476
ABEV,-0.0005113978741229889,0.019229575239655475,-0.0007923980306502752,-0.48308525003269787,17.047291029173447
ABG,0.0013047000406669325,0.01845974245726394,0.0009172622912315806,-0.23720930553486935,12.181004620284469
ABM,0.0001806912547517208,0.019215146512748745,0.0003684867842657304,-0.3487553603114374,13.204044880988874
ABR,0.001093367276717055,0.012843026971049838,0.0010329216217235097,-0.22748816344019407,13.984406412876632
ABT,0.000866447971342806,0.013309661813138736,0.0008747729468853299,-0.11727480110618521,15.560451135537408
ABUS,0.0005272238277302643,0.062439133394551344,-0.0036619253150882393,-0.9295546576602748,12.815791771911384
ACAD,0.0018667283941406175,0.05095473750244495,0.0014204371558158035,-0.5969687907516547,14.597916392420926
ACB,-0.0015887625758115658,0.052418912757338516,-0.001379438292679414,-0.8400201067198213,16.443438247446604
ACGL,0.0008191604930804125,0.01173878098265425,0.0009215309262971563,-0.20359666913466407,14.1565657205432
ACHC,0.00025841104918844325,0.02418049350828822,-0.0006185331569909221,-0.4492656707539273,13.978515706316037
ACIU,0.0010424638217122679,0.0556239673766045,-0.0018503766067796577,-0.7781829162995605,12.140349093826655
ACLS,-3.730386221939176e-05,0.02705778773353057,-0.0006545907581075185,-0.5507986976891344,12.563015566482324
ACM,0.00038537536183663756,0.01540523886345857,0.00020421271385084476,-0.37102471610015075,13.748407485169468
ACN,0.0007083951034289683,0.012858923219642103,0.0005308617802599843,-0.2326195746285209,14.541486779779081
ACNB,0.000620112601629513,0.016912618750595926,0.0004105144775237747,-0.20591110376042135,9.046511498219408
ACRE,0.00047132611878191117,0.009533899028819836,0.00045529115619115596,-0.12329702874587402,11.909306401527106
ACST,0.0034990376979209506,0.059666265887086976,0.0020247477915230445,-0.6428571496150391,13.826760956694747
ACTG,-0.0005648717071753913,0.02232298536842655,-0.0007803729262576323,-0.4409090943572934,11.992142275205381
ADAP,-0.0022017531193988496,0.051527919548986015,-0.005085457388786554,-0.9487994327927652,12.98804736804546
ADBE,0.0014130872577887577,0.019018909613386027,0.0007431484350585487,-0.2552905334688637,14.90567547392929
ADC,0.0006930703575700213,0.012180968005211033,0.0010059840865608918,-0.13921835125269377,12.565944780160486
ADI,0.0007047709071388299,0.017730553298262956,0.0005539704337596395,-0.2378060640760052,14.806306850594563
ADM,0.00036429698138815256,0.012266403928049013,-0.0002105220764126918,-0.2902105102973254,15.084396920386366
ADMA,0.0014592108535825975,0.04475107426857363,-0.0002509011891163465,-0.6832116632839073,13.186048414398083
ADNT,-0.001744644996311987,0.041901107701600125,-0.0028344842523447427,-0.8501252022990248,14.334136538142152
ADSK,0.001322624757618026,0.022562567453265285,0.0006813477121446463,-0.24732823160435008,14.4963040139102
ADTN,-0.0010298211073904047,0.02665602558395738,-0.0009985646373141333,-0.5675000190734864,12.865962149141977
ADUS,0.0022114887878605656,0.021088777081128024,0.0015037215676331082,-0.2310610987426123,11.748161067134342
ADVM,0.0038996105897076256,0.054290918373694486,0.001238312571086375,-0.6777847844597062,13.784468292296589
AE,-2.0442193642764616e-05,0.02317721212324474,-0.0008362539573822232,-0.41375153069132453,8.891947101256521
AEE,0.0006000398361185153,0.010390920887258404,0.0007891221648548958,-0.10564273091111114,14.244945203620064
AEG,-0.0005380149614076468,0.016167290914159617,-0.0011222355434695017,-0.5020242735215217,14.357815318107443
AEHR,0.00012255597636725538,0.04028928002536065,-0.0011934903200364856,-0.6718266450402072,11.414762378540768
AEO,-0.00020430293790210452,0.025452415213662222,-0.0006851572097591609,-0.5125905406691932,15.299642312605908
AEP,0.0005794546384346195,0.009870999009706345,0.0008215813912546897,-0.13092118322726007,14.800512432684018
AER,0.0004192850417253543,0.014860069230668163,5.143191737508306e-05,-0.3634950663534017,13.926411744820612
AES,0.0013124761613347064,0.014787154067658136,0.0010569886062559207,-0.20640957209290953,15.679533727512169
AFG,0.00011441047535434281,0.011076098855843252,-0.00018124701373494365,-0.2922234186134054,12.756446213274298
AFL,0.0004307925898751935,0.01121268137378167,0.00047769592601647816,-0.14993845791548685,15.03859507326015
AG,0.001548124854738473,0.03134958473072427,0.0010664957386310038,-0.4213074966881178,15.063314875479861
AGCO,0.0002970163847768703,0.0171058877372881,0.00039124351002473706,-0.324382684085007,13.422422031092408
AGEN,0.0011308439042518224,0.04192766597083603,-0.00027472087141406065,-0.7367549596985757,14.126585464945999
AGI,0.0001959350549122108,0.028272974008599214,0.00018315784716483558,-0.5606508982172781,14.620273087944405
AGIO,6.880243904047457e-05,0.03213361448588575,-0.0018971524621495806,-0.6978402912949492,13.220894473286586
AGM,0.0003248961699437122,0.020610968435129436,-0.00015133849382857923,-0.42610634549279097,10.58649417689475
AGNC,-0.00020454264329042814,0.008369153496231045,-0.00033376585058276966,-0.2612838942969225,15.455580719335995
AGR,9.814616740410534e-05,0.010646930759681927,6.680976238006288e-06,-0.1492812149776015,13.035552969194361
AGRX,0.006765938818077281,0.1386691103191276,-0.0001849062731472374,-0.9347258472637017,14.311748188711956
AI,-0.0013750298444875544,0.0151741194864615,-0.001706889604005338,-0.5860621417715762,13.09714263561685
AIM,-0.0047657925905686335,0.06014929424945651,-0.007179166114907418,-0.9856993568035518,13.487732759667121
AIN,0.0005669741692292977,0.01832984083477748,0.0006571888890169885,-0.28243244775809684,11.9418042223842
AINC,-0.0022121121029670763,0.03336259052269129,-0.003202386351360783,-0.7985000038146972,9.217847510440182
AIR,0.0004986213892890042,0.021505916393442782,-0.00022967532844410534,-0.3954563996759578,12.459383997341396
AIRT,0.0010644268219186137,0.036925793032688774,-0.00015954094123344552,-0.5224706083753112,8.278372220060515
AIT,0.0001071083100495379,0.01696820105139115,-0.0005906735318263774,-0.37412199678973135,12.216274927791522
AIZ,0.0006405982070740162,0.013141723593464922,0.0006351901266393534,-0.25067997063340286,13.289291389890728
AJG,0.0009086565629160803,0.010871527738431117,0.000770332303903482,-0.11980096604607832,13.782173122869871
AJX,0.00017267081365004668,0.009630836959891044,0.0002675775869043066,-0.16834527072893504,11.19426354369256
AKAM,0.0006987911574722673,0.017434251587196102,0.0004996588752527856,-0.30128361003207155,14.299685297798636
AKBA,-0.000830915927318571,0.042458929992601924,-0.0025223520436082453,-0.7984693862035442,13.656626466891787
AL,0.00011798274541435982,0.016707130524675578,-0.00017210662672737184,-0.4292809007717222,13.517722195593107
ALCO,0.0005310302666761878,0.014355657015739537,0.00019256409839898787,-0.25829726894109956,9.109432706531619
ALE,0.0002490282967121922,0.010884718445697592,0.0003800309099236787,-0.11127303287989163,12.468900199206459
ALG,0.00039536566534543864,0.018442662019092906,0.0001623822451875633,-0.38466661234488514,11.144595330459861
